"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted","statistical_id"
376,"4513626302",2025-10-24 16:57:22.425,2025-10-24 16:57:22.425,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,1,ST-T96105681,false,
370,"4513626302",2025-10-24 16:56:46.218,2025-10-24 16:56:46.218,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,1,ST-T96105676,false,
362,"4513626302",2025-10-24 16:56:02.616,2025-10-24 16:56:02.616,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,1,ST-T96104068,false,
352,"4513626302",2025-10-24 16:45:52.112,2025-10-24 16:45:52.112,ES755-A2501,,"1P6EP3437-8SB00-0AY0",,1,SYSU/T9ADE6BT9,false,
350,"4513626302",2025-10-24 16:42:52.624,2025-10-24 16:42:52.624,ES755-A2501,,"1P6EP3437-8SB00-0AY0",,1,SYSU/T9ADGEBT9,false,
349,"4513626302",2025-10-24 16:40:08.554,2025-10-24 16:40:08.554,ES755-A2501,,"1P6EP3437-8SB00-0AY0",,1,SYSU/T9ADFTBT9,false,
348,"4513626302",2025-10-24 16:40:03.859,2025-10-24 16:40:03.859,ES755-A2501,"","1P6EP3437-8SB00-0AY0","",1,SYSU/T9ADF9BT9,false,
347,"4513626302",2025-10-24 16:39:58.665,2025-10-24 16:39:58.665,ES755-A2501,,"1P6EP3437-8SB00-0AY0",,1,SYSU/T9ADFDBT9,false,
346,"4513626302",2025-10-24 16:39:52.202,2025-10-24 16:39:52.202,ES755-A2501,,"1P6GK52164BS002AC2",,1,"23S74FC453B0B05",false,
345,"4513626302",2025-10-24 16:39:45.906,2025-10-24 16:39:45.906,ES755-A2501,,"1P6GK52164BS002AC2",,1,"23S74FC4539F0A9",false,
343,"4513626302",2025-10-24 16:37:22.848,2025-10-24 16:37:22.848,ES755-A2501,"","1P6GK52164BS002AC2","",1,"23S74FC453B0ACF",false,
342,"4513626302",2025-10-24 16:36:08.866,2025-10-24 16:36:08.866,ES755-A2501,,"1P6GK52164BS002AC2",,1,"23S74FC4539F098",false,
341,"4513626302",2025-10-24 16:36:00.990,2025-10-24 16:36:00.990,ES755-A2501,,"1P6GK52164BS002AC2",,1,"23S74FC453B0A1B",false,
340,"4513626302",2025-10-24 16:23:36.210,2025-10-24 16:23:36.210,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96104067,false,
339,"4513626302",2025-10-24 16:23:14.313,2025-10-24 16:23:14.313,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96104070,false,
338,"4513626302",2025-10-24 16:23:05.385,2025-10-24 16:23:05.385,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96103772,false,
337,"4513626302",2025-10-24 16:22:53.778,2025-10-24 16:22:53.778,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96104075,false,
336,"4513626302",2025-10-24 16:22:31.143,2025-10-24 16:22:31.143,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96104057,false,
335,"4513626302",2025-10-24 16:22:21.030,2025-10-24 16:22:21.030,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96104063,false,
333,"4513626302",2025-10-24 16:09:27.585,2025-10-24 16:09:27.585,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96104076,false,
332,"4513626302",2025-10-24 16:08:32.052,2025-10-24 16:08:32.052,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96104074,false,
331,"4513626302",2025-10-24 16:08:12.763,2025-10-24 16:08:12.763,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96105691,false,
330,"4513626302",2025-10-24 16:08:01.088,2025-10-24 16:08:01.088,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96105693,false,
329,"4513626302",2025-10-24 16:07:50.282,2025-10-24 16:07:50.282,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96105685,false,
328,"4513626302",2025-10-24 16:07:43.000,2025-10-24 16:07:43.000,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96105678,false,
327,"4513626302",2025-10-24 16:07:34.972,2025-10-24 16:07:34.972,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96105674,false,
326,"4513626302",2025-10-24 16:07:19.125,2025-10-24 16:07:19.125,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96104061,false,
325,"4513626302",2025-10-24 16:06:00.328,2025-10-24 16:06:00.328,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96105675,false,
324,"4513626302",2025-10-24 16:04:48.755,2025-10-24 16:04:48.755,ES755-A2501,,"1P6SL3040-1MA01-0AA0",,2,ST-T96105680,false,
323,"4513626302",2025-10-24 16:03:14.915,2025-10-24 16:03:14.915,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96096391,false,
321,"4513626302",2025-10-24 16:01:52.496,2025-10-24 16:01:52.496,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96096375,false,
320,"4513626302",2025-10-24 16:01:52.214,2025-10-24 16:01:52.214,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96096390,false,
319,"4513626302",2025-10-24 15:59:08.665,2025-10-24 15:59:08.665,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96096374,false,
318,"4513626302",2025-10-24 15:57:46.221,2025-10-24 15:57:46.221,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96104059,false,
317,"4513626302",2025-10-24 15:56:57.694,2025-10-24 15:56:57.694,ES755-A2501,"","1P6SL3040-1MA01-0AA0","",1,ST-T96105686,false,
316,"4513626302",2025-10-24 15:56:38.396,2025-10-24 15:56:38.396,ES755-A2501,,"1P6SL3055-0AA00-3LA0",,1,ST-T36200238,false,
315,"4513626302",2025-10-24 15:56:28.235,2025-10-24 15:56:28.235,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085050,false,
314,"4513626302",2025-10-24 15:56:21.852,2025-10-24 15:56:21.852,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085184,false,
313,"4513626302",2025-10-24 15:56:08.762,2025-10-24 15:56:08.762,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085037,false,
312,"4513626302",2025-10-24 15:56:02.834,2025-10-24 15:56:02.834,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085203,false,
311,"4513626302",2025-10-24 15:55:56.369,2025-10-24 15:55:56.369,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085182,false,
310,"4513626302",2025-10-24 15:55:13.050,2025-10-24 15:55:13.050,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085042,false,
309,"4513626302",2025-10-24 15:55:01.483,2025-10-24 15:55:01.483,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085032,false,
308,"4513626302",2025-10-24 15:54:39.409,2025-10-24 15:54:39.409,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085041,false,
307,"4513626302",2025-10-24 15:54:25.423,2025-10-24 15:54:25.423,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085181,false,
306,"4513626302",2025-10-24 15:54:14.804,2025-10-24 15:54:14.804,ES755-A2501,,"1P6SL3055-0AA00-5CA2",,1,ST-T96085049,false,
