"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted"
232,PO4305,2025-10-17 15:55:17.234,2025-10-17 15:55:17.234,ES755-A2501,,"950112",,1,"20263990000000170151268",false
233,PO4305,2025-10-17 15:55:37.771,2025-10-17 15:55:37.771,ES755-A2501,,"950112",,1,"20263990000000170151283",false
237,PO4305,2025-10-17 16:02:38.844,2025-10-17 16:02:38.844,ES755-A2501,,"950112",,1,"20263990000000170151273",false
238,PO4305,2025-10-17 16:02:59.209,2025-10-17 16:02:59.209,ES755-A2501,,"950112",,1,"20263990000000170151282",false
239,PO4305,2025-10-17 16:03:24.198,2025-10-17 16:03:24.198,ES755-A2501,,"950112",,1,"20263990000000170151122",false
240,PO4305,2025-10-17 16:03:35.122,2025-10-17 16:03:35.122,ES755-A2501,,"950112",,1,"20263990000000170151305",false
252,PO4305,2025-10-17 16:23:26.752,2025-10-17 16:23:26.752,ES755-A2501,,"950112",,1,"20263990000000170151188",false
253,PO4305,2025-10-17 16:23:45.004,2025-10-17 16:23:45.004,ES755-A2501,,"950112",,1,"20263990000000170151174",false
254,PO4305,2025-10-17 16:24:09.144,2025-10-17 16:24:09.144,ES755-A2501,,"950112",,1,"20263990000000170151195",false
255,PO4305,2025-10-17 16:24:28.973,2025-10-17 16:24:28.973,ES755-A2501,,"950112",,1,"20263990000000170151277",false
256,PO4305,2025-10-17 16:25:04.376,2025-10-17 16:25:04.376,ES755-A2501,,"950112",,1,"20263990000000170151285",false
257,PO4305,2025-10-17 16:25:30.334,2025-10-17 16:25:30.334,ES755-A2501,,"950112",,1,"20263990000000170151156",false
258,PO4305,2025-10-17 16:25:40.932,2025-10-17 16:25:40.932,ES755-A2501,,"950112",,1,"20263990000000170151167",false
259,PO4305,2025-10-17 16:25:53.443,2025-10-17 16:25:53.443,ES755-A2501,,"950112",,1,"20263990000000170151286",false
273,PO4305,2025-10-17 16:35:16.549,2025-10-17 16:35:16.549,ES755-A2501,,"950112",,1,"20263990000000170151274",false
234,PO4305,2025-10-17 16:00:02.395,2025-10-17 16:00:02.395,ES755-A2501,,"950112",,1,"20263990000000170151170",false
235,PO4305,2025-10-17 16:00:57.272,2025-10-17 16:00:57.272,ES755-A2501,,"950112",,1,"20263990000000170151294",false
236,PO4305,2025-10-17 16:01:12.108,2025-10-17 16:01:12.108,ES755-A2501,,"950112",,1,"20263990000000170151162",false
241,PO4305,2025-10-17 16:08:03.284,2025-10-17 16:08:03.284,ES755-A2501,,"950112",,1,"20263990000000170151288",false
242,PO4305,2025-10-17 16:08:16.417,2025-10-17 16:08:16.417,ES755-A2501,,"950112",,1,"20263990000000170151278",false
243,PO4305,2025-10-17 16:08:28.163,2025-10-17 16:08:28.163,ES755-A2501,,"950112",,1,"20263990000000170151176",false
244,PO4305,2025-10-17 16:08:57.550,2025-10-17 16:08:57.550,ES755-A2501,,"950112",,1,"20263990000000170151287",false
245,PO4305,2025-10-17 16:09:10.190,2025-10-17 16:09:10.190,ES755-A2501,,"950112",,1,"20263990000000170151302",false
246,PO4305,2025-10-17 16:09:21.631,2025-10-17 16:09:21.631,ES755-A2501,,"950112",,1,"20263990000000170151292",false
247,PO4305,2025-10-17 16:09:39.616,2025-10-17 16:09:39.616,ES755-A2501,,"950112",,1,"20263990000000170151284",false
248,PO4305,2025-10-17 16:09:48.090,2025-10-17 16:09:48.090,ES755-A2501,,"950112",,1,"20263990000000170151303",false
249,PO4305,2025-10-17 16:09:57.668,2025-10-17 16:09:57.668,ES755-A2501,,"950112",,1,"20263990000000170151220",false
250,PO4305,2025-10-17 16:10:15.983,2025-10-17 16:10:15.983,ES755-A2501,,"950112",,1,"20263990000000170151161",false
170,PO4581,2025-10-17 11:18:31.582,2025-10-17 11:18:31.582,ES755-A2501,"",NDK-500VA IEC,"",1,"024582832715300048",false
168,PO4581,2025-10-17 11:17:19.593,2025-10-17 11:17:19.593,ES755-A2501,"",NKD-500VA IEC,"",1,"024582832715300046",false
251,PO4305,2025-10-17 16:10:23.468,2025-10-17 16:10:23.468,ES755-A2501,,"950112",,1,"20263990000000170151125",false
260,PO4305,2025-10-17 16:28:01.412,2025-10-17 16:28:01.412,ES755-A2501,,"950112",,1,"20263990000000170151297",false
173,PO4297,2025-10-17 11:33:38.428,2025-10-17 11:33:38.428,ES755-A2501,,"8-008099110249",,1,"01545",false
174,PO4297,2025-10-17 11:33:50.746,2025-10-17 11:33:50.746,ES755-A2501,,"8-008099110249",,1,"01582",false
261,PO4305,2025-10-17 16:28:11.154,2025-10-17 16:28:11.154,ES755-A2501,,"950112",,1,"20263990000000170151123",false
262,PO4305,2025-10-17 16:28:24.695,2025-10-17 16:28:24.695,ES755-A2501,,"950112",,1,"20263990000000170151199",false
263,PO4305,2025-10-17 16:28:36.018,2025-10-17 16:28:36.018,ES755-A2501,,"950112",,1,"20263990000000170151175",false
264,PO4305,2025-10-17 16:29:02.405,2025-10-17 16:29:02.405,ES755-A2501,,"950112",,1,"20263990000000170151180",false
265,PO4305,2025-10-17 16:29:11.000,2025-10-17 16:29:11.000,ES755-A2501,,"950112",,1,"20263990000000170151205",false
266,PO4305,2025-10-17 16:29:23.991,2025-10-17 16:29:23.991,ES755-A2501,,"950112",,1,"20263990000000170151179",false
267,PO4305,2025-10-17 16:29:33.677,2025-10-17 16:29:33.677,ES755-A2501,,"950112",,1,"20263990000000170151295",false
268,PO4305,2025-10-17 16:29:44.318,2025-10-17 16:29:44.318,ES755-A2501,,"950112",,1,"20263990000000170151296",false
269,PO4305,2025-10-17 16:29:57.871,2025-10-17 16:29:57.871,ES755-A2501,,"950112",,1,"20263990000000170151165",false
270,PO4305,2025-10-17 16:30:16.993,2025-10-17 16:30:16.993,ES755-A2501,,"950112",,1,"20263990000000170151154",false
271,PO4305,2025-10-17 16:30:23.538,2025-10-17 16:30:23.538,ES755-A2501,,"950112",,1,"20263990000000170151182",false
272,PO4305,2025-10-17 16:30:33.130,2025-10-17 16:30:33.130,ES755-A2501,,"950112",,1,"20263990000000170151172",false
