"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted","statistical_id"
996,"4513657244",2025-11-11 08:48:51.070,2025-11-11 08:48:51.070,ES755-A2501,"","1P3RV2031-4UA10","",1,SG/250802816559,false,
995,"4513657244",2025-11-11 08:48:47.705,2025-11-11 08:48:47.705,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1A
SIRIUS Circuit breaker
","1P3RV2011-0JA10",Siemens,1,SG/250916525319,false,
994,"4513657244",2025-11-11 08:48:45.359,2025-11-11 08:48:45.359,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250919697609,false,
993,"4513657244",2025-11-11 08:48:39.308,2025-11-11 08:48:39.308,ES755-A2501,"","1P3RV2031-4UA10","",1,SG/250802816545,false,
992,"4513657244",2025-11-11 08:48:32.731,2025-11-11 08:48:32.731,ES755-A2501,"","1P3RV2031-4UA10","",1,SG/250802816544,false,
991,"4513657244",2025-11-11 08:48:28.651,2025-11-11 08:48:28.651,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1A
SIRIUS Circuit breaker
","1P3RV2011-0JA10",Siemens,1,SG/250916527278,false,
990,"4513657244",2025-11-11 08:48:24.055,2025-11-11 08:48:24.055,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1A
SIRIUS Circuit breaker
","1P3RV2011-0JA10",Siemens,1,SG/250916527608,false,
989,"4513657244",2025-11-11 08:48:20.744,2025-11-11 08:48:20.744,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250919697710,false,
988,"4513657244",2025-11-11 08:48:10.289,2025-11-11 08:48:10.289,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250919697715,false,
987,"4513657244",2025-11-11 08:47:58.304,2025-11-11 08:47:58.304,ES755-A2501,"","1P3RV2031-4UA10","",1,SG/250802816549,false,
986,"4513627242",2025-11-11 08:47:55.357,2025-11-11 08:47:55.357,ES755-A2501,,"1P3RV2031-4UA10",,1,SG/250802816553,false,
985,"4513627242",2025-11-11 08:47:39.702,2025-11-11 08:47:39.702,ES755-A2501,,"1P3RV2031-4UA10",,1,SG/250802816558,false,
984,"4513627242",2025-11-11 08:47:35.888,2025-11-11 08:47:35.888,ES755-A2501,,"1P3RV2031-4UA10",,1,SG/250802816542,false,
983,"4513627242",2025-11-11 08:47:25.184,2025-11-11 08:47:25.184,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1A
SIRIUS Circuit breaker
","1P3RV2011-0JA10",Siemens,1,SG/250916527638,false,
982,"4513627242",2025-11-11 08:47:22.762,2025-11-11 08:47:22.762,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1A
SIRIUS Circuit breaker
","1P3RV2011-0JA10",Siemens,1,SG/250916527594,false,
981,"4513627242",2025-11-11 08:47:19.574,2025-11-11 08:47:19.574,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250919697732,false,
980,"4513657244",2025-11-11 08:47:06.605,2025-11-11 08:47:06.605,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1A
SIRIUS Circuit breaker
","1P3RV2011-0JA10",Siemens,1,SG/250916527596,false,
979,"4513657244",2025-11-11 08:47:03.257,2025-11-11 08:47:03.257,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1A
SIRIUS Circuit breaker
","1P3RV2011-0JA10",Siemens,1,SG/250916527990,false,
978,"4513657244",2025-11-11 08:46:59.256,2025-11-11 08:46:59.256,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250918696973,false,
977,"4513657244",2025-11-11 08:46:53.052,2025-11-11 08:46:53.052,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250918696955,false,
971,"4513657244",2025-11-10 15:05:01.393,2025-11-10 15:05:01.393,ES755-A2501,"CONTACTOR,AC3:7,5KW 1NO DC24V
SIRIUS Power contactor
.","1P3RT2018-1BB41",Siemens,1,SG/251007886255,false,
970,"4513657244",2025-11-10 15:05:00.836,2025-11-10 15:05:00.836,ES755-A2501,"CONTACTOR,AC3:7,5KW 1NO DC24V
SIRIUS Power contactor
.","1P3RT2018-1BB41",Siemens,1,SG/251007886251,false,
969,"4513657244",2025-11-10 15:04:39.500,2025-11-10 15:04:39.500,ES755-A2501,"CONTACTOR,AC3:7,5KW 1NO DC24V
SIRIUS Power contactor
.","1P3RT2018-1BB41",Siemens,1,SG/251007886250,false,
968,"4513657244",2025-11-10 15:04:34.969,2025-11-10 15:04:34.969,ES755-A2501,"CONTACTOR,AC3:7,5KW 1NO DC24V
SIRIUS Power contactor
.","1P3RT2018-1BB41",Siemens,1,SG/251007886272,false,
967,"4513657244",2025-11-10 15:04:31.725,2025-11-10 15:04:31.725,ES755-A2501,"CONTACTOR,AC3:7,5KW 1NO DC24V
SIRIUS Power contactor
.","1P3RT2018-1BB41",Siemens,1,SG/251007886260,false,
966,"4513657244",2025-11-10 15:04:21.432,2025-11-10 15:04:21.432,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250918696972,false,
965,"4513657244",2025-11-10 15:04:10.332,2025-11-10 15:04:10.332,ES755-A2501,"CIRCUIT-BREAKER, SCREW CONNECTION 3,2A
SZ.S00; 1NO+1NC
2,2-3,2A","1P3RV2011-1DA15",Siemens,1,SG/250924331131,false,
964,"4513657244",2025-11-10 15:04:04.784,2025-11-10 15:04:04.784,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 16A
SIRIUS Circuit breaker
","1P3RV2011-4AA10",Siemens,1,SG/250916516709,false,
963,"4513657244",2025-11-10 15:03:54.446,2025-11-10 15:03:54.446,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 16A
SIRIUS Circuit breaker
","1P3RV2011-4AA10",Siemens,1,SG/250916520338,false,
962,"4513657244",2025-11-10 15:03:48.638,2025-11-10 15:03:48.638,ES755-A2501,,"1P3RV2011-1EA10",,1,SG/250904589041,false,
961,"4513657244",2025-11-10 15:03:46.118,2025-11-10 15:03:46.118,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250919697660,false,
960,"4513657244",2025-11-10 15:03:41.077,2025-11-10 15:03:41.077,ES755-A2501,,"1P3RT2027-1BB40",,1,SG/250911949309,false,
959,"4513657244",2025-11-10 15:03:38.096,2025-11-10 15:03:38.096,ES755-A2501,,"1P3RT2027-1BB40",,1,SG/250911949327,false,
957,"4513657244",2025-11-10 15:03:29.031,2025-11-10 15:03:29.031,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250919697602,false,
950,"4513657244",2025-11-10 14:26:28.554,2025-11-10 14:26:28.554,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250918696996,false,
949,"4513657244",2025-11-10 14:26:26.381,2025-11-10 14:26:26.381,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1.25A
SIRIUS Circuit breaker
","1P3RV2011-0KA10",Siemens,1,SG/250924328241,false,
948,"4513657244",2025-11-10 14:26:17.398,2025-11-10 14:26:17.398,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250919697681,false,
947,"4513657244",2025-11-10 14:26:14.804,2025-11-10 14:26:14.804,ES755-A2501,"CIRCUIT-BREAKER SCREW CONNECTION 1.25A
SIRIUS Circuit breaker
","1P3RV2011-0KA10",Siemens,1,SG/250924328233,false,
946,"4513657244",2025-11-10 14:26:06.705,2025-11-10 14:26:06.705,ES755-A2501,"CONTACTOR,AC3:3KW 1NO DC24V
SIRIUS Power contactor
","1P3RT2015-1BB41",Siemens,1,SG/250919697697,false,
