"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted","statistical_id"
678,PO4556,2025-11-04 16:38:18.949,2025-11-04 16:38:18.949,ES755-A2501,,ILEC-JP-614-4000,,1,"251023141",false,
677,PO4556,2025-11-04 16:38:03.647,2025-11-04 16:38:03.647,ES755-A2501,,ILEC-JP-614-4000,,1,"251023136",false,
676,PO4556,2025-11-04 16:37:25.087,2025-11-04 16:37:25.087,ES755-A2501,,ILEC-JP-614-4000,,1,"251023111",false,
675,PO4556,2025-11-04 16:36:24.476,2025-11-04 16:36:24.476,ES755-A2501,,ILEC-JP-614-4000,,1,"251023147",false,
674,PO4556,2025-11-04 16:36:06.058,2025-11-04 16:36:06.058,ES755-A2501,,ILEC-JP-614-4000,,1,"251023131",false,
673,PO4556,2025-11-04 16:35:32.264,2025-11-04 16:35:32.264,ES755-A2501,,ILEC-JP-614-4000,,1,"251023112",false,
672,PO4556,2025-11-04 16:35:17.683,2025-11-04 16:35:17.683,ES755-A2501,,ILEC-JP-614-4000,,1,"251023142",false,
671,PO4556,2025-11-04 16:35:00.140,2025-11-04 16:35:00.140,ES755-A2501,,ILEC-JP-614-4000,,1,"251023116",false,
670,PO4556,2025-11-04 16:34:28.631,2025-11-04 16:34:28.631,ES755-A2501,,ILEC-JP-614-4000,,1,"251023108",false,
669,PO4556,2025-11-04 16:33:48.898,2025-11-04 16:33:48.898,ES755-A2501,,ILEC-JP-614-4000,,1,"251023121",false,
668,PO4556,2025-11-04 16:33:29.763,2025-11-04 16:33:29.763,ES755-A2501,,ILEC-JP-614-4000,,1,"251023101",false,
667,PO4556,2025-11-04 16:33:02.274,2025-11-04 16:33:02.274,ES755-A2501,,ILEC-JP-614-4000,,1,"251023135",false,
666,PO4556,2025-11-04 16:32:43.587,2025-11-04 16:32:43.587,ES755-A2501,,ILEC-JP-614-4000,,1,"251023102",false,
665,PO4556,2025-11-04 16:32:20.194,2025-11-04 16:32:20.194,ES755-A2501,,ILEC-JP-614-4000,,1,"251023148",false,
664,PO4556,2025-11-04 16:31:53.605,2025-11-04 16:31:53.605,ES755-A2501,,ILEC-JP-614-4000,,1,"251023103",false,
663,PO4556,2025-11-04 16:31:34.408,2025-11-04 16:31:34.408,ES755-A2501,,ILEC-JP-614-4000,,1,"251023125",false,
662,PO4556,2025-11-04 16:31:06.247,2025-11-04 16:31:06.247,ES755-A2501,,ILEC-JP-614-4000,,1,"251023107",false,
661,PO4556,2025-11-04 16:30:42.262,2025-11-04 16:30:42.262,ES755-A2501,,ILEC-JP-614-4000,,1,"251023137",false,
660,PO4556,2025-11-04 16:30:25.914,2025-11-04 16:30:25.914,ES755-A2501,,ILEC-JP-614-4000,,1,"251023133",false,
